"","id","name","value"
"1","0103041","TRAILER HAVEN MOBILE HOME PARK",543
"2","0105002","RIVERS END MARINA",250
"3","0105010","EBRPD - DEL VALLE REGIONAL PARK",10000
"4","0105012","EBRPD - SUNOL REGIONAL WILDERNESS",35
"5","0105013","EBRPD - REDWOOD SPRING REGIONAL PARK",35
"6","0105020","ALAMEDA COUNTY FAIRGROUNDS",82
"7","0110001","ALAMEDA COUNTY WATER DISTRICT",340000
"8","0110003","CALIFORNIA WATER SERVICE - LIVERMORE",59000
"9","0110005","EAST BAY MUD",1379750
"10","0110008","CITY OF PLEASANTON",73067
"11","0110010","ZONE 7 WATER AGENCY",226840
"12","0210001","LAKE ALPINE WATER COMPANY",2650
"13","0210002","KIRKWOOD MEADOWS PUBILC UTILIT",7851
"14","0300011","SUTTER PINES MHP",40
"15","0300024","TABEAU MOBILE HOME PARK",25
"16","0300037","JACKSON VALLEY IRRIGATION DISTRICT",2000
"17","0300062","HOPE FOUNDATION/MORIAH HEIGHTS",30
"18","0300073","AMADOR WATER AGENCY--TIGER CREEK POWERHO",35
"19","0300078","IONE BAND OF MIWOK INDIANS",62
"20","0300083","BELLA PIAZZA WINERY",71
"21","0300091","SERA FINA CELLARS",25
"22","0300097","SIERRA SUNRISE DBA TERRA D'ORO/MONTEVINA",81
"23","0300524","MP ASSOCIATES, INC.",170
"24","0301038","PARDEE RECREATION AREA",100
"25","0310002","AWA, IONE",6420
"26","0310003","AWA, SUTTER CREEK",5084
"27","0310006","RIVER PINES PUD",510
"28","0310008","CAMANCHE NORTH SHORE INC.",255
"29","0310012","AWA BUCKHORN PLANT",9938
"30","0310019","AWA LA MEL HEIGHTS #3",188
"31","0310020","THE OAKS MOBILE HOME PARK",600
"32","0400001","YOUTH WITH A MISSION-SPRINGS OF LIVING W",150
"33","0400012","FARM LABOR HOUSING",460
"34","0400021","ROBINSON'S CORNER MHP",20
"35","0400023","GOLDEN OAKS MOBILE ESTATES",34
"36","0400026","MEADOWBROOK OAKS",50
"37","0400041","FOREST RANCH MOBILE PARK",25
"38","0400063","MANZANITA ELEMENTARY SCHOOL",295
"39","0400064","CONCOW ELEMENTARY SCHOOL",115
"40","0400065",NA,NA
"41","0400070","BUTTE-GLENN COMMUNITY COLLEGE DIST",18000
"42","0400081","FEATHER RIDGE ESTATES WATER CO",12
"43","0400105","GRAY LODGE CHECK STATION",8000
"44","0400154","SMUCKER NATURAL FOODS",85
"45","0400169","GRIDLEY GRILL",750
"46","0405001","DEL ORO WATER CO.-LIME SADDLE MARINA",1310
"47","0409197","SIERRA NEVADA BREWING CO.",30
"48","0410001","CITY OF BIGGS",1805
"49","0410002","CAL-WATER SERVICE CO.-CHICO",105660
"50","0410004","CITY OF GRIDLEY",6608
"51","0410005","CAL-WATER SERVICE CO.-OROVILLE",10556
"52","0410006","SFWP-MINERS RANCH",24875
"53","0410007","PARADISE IRRIGATION DISTRICT",26032
"54","0410008","THERMALITO WATER & SEWER DISTRICT",9858
"55","0410011","DEL ORO WATER CO.-PARADISE PINES",11324
"56","0410012","SFWP-BANGOR",76
"57","0500019","MINERAL MOUNTAIN MUTUAL WATER",125
"58","0500091","RITE OF PASSAGE/SIERRA RIDGE",150
"59","0510001","UNION PUBLIC UTILITY DISTRICT",4300
"60","0510002","CALAVERAS PUD",6198
"61","0510003","ANGELS, CITY OF",3836
"62","0510004","CCWD - SHEEP RANCH",134
"63","0510005","CCWD - WEST POINT",988
"64","0510006","CCWD - JENNY LIND",9592
"65","0510009","BLUE LAKE SPRINGS MUT WTR",5100
"66","0510010","VALLEY SPRINGS PUD",900
"67","0510012","CAMANCHE SOUTH SHORE-EBMUD",180
"68","0510016","CCWD - EBBETTS PASS",12484
"69","0510017","CCWD - COPPER COVE",4416
"70","0510019","CCWD - WALLACE",340
"71","0600005","COLUSA CO. SERVICE AREA #2-STONYFORD",250
"72","0600008","COLUSA CO. WWD #1 - GRIMES",381
"73","0600012","COLUSA CO. SERVICE AREA #1-CENTURY RANCH",246
"74","0600013","COLUSA CO. WWD #2 - PRINCETON",356
"75","0600033","WILLOW CREEK M.W.C.-LAMBERTVILLE",31
"76","0600065","COLUSA INDUSTRIAL PROPERTIES",391
"77","0605002","MORNING STAR PKG. CO.-WMS.",390
"78","0605004","ADM RICE INC.",50
"79","0610002","CITY OF COLUSA",6235
"80","0610003","MAXWELL PUBLIC UTILITY DISTRICT",1294
"81","0610004","CITY OF WILLIAMS",5255
"82","0706004","OAKLEY MUTUAL WATER COMPANY",170
"83","0706027","ORIN ALLEN YOUTH REHAB FACILITY",300
"84","0706029","EXCELSIOR MIDDLE SCHOOL",800
"85","0706050","THOMAS DENOVA LLC WATER SYSTEM",60
"86","0706111","EBRPD LITTLE HILLS",50
"87","0706112","EBRPD ROUND VALLEY WATER SYSTEM",65
"88","0707507","WILLOW PARK MARINA",380
"89","0707521","BYRON CORNERS INC",90
"90","0707523","FLAMINGO MOBILE MANOR",200
"91","0707547","KNIGHTSEN COMMUNITY WATER SYSTEM",250
"92","0707568","MACS OLD HOUSE",90
"93","0707570","BRIDGEHEAD CAFE",80
"94","0707573","DELTA MUTUAL WATER COMPANY",225
"95","0707585","MORAGA HEIGHTS MUTUAL WATER",60
"96","0707613","WILLOW MOBILE HOME PARK",350
"97","0707615","DOUBLETREE RANCH WATER SYSTEM",49
"98","0707620","CANYON SCHOOL",200
"99","0707625","GOLDEN EAGLE SMALL WATER SYSTEM",600
"100","0707643","EBRPD OLD BRIONES REGIONAL PARK",40
"101","0707644","EBRPD ALHAMBRA",70
"102","0707900","EBRPD MORGAN TERRITORY",25
"103","0710001","CITY OF ANTIOCH",103833
"104","0710002","GOLDEN STATE WATER COMPANY - BAY POINT",22058
"105","0710003","CONTRA COSTA WATER DISTRICT",198000
"106","0710004","BRENTWOOD",54700
"107","0710006","CITY OF MARTINEZ",35375
"108","0710007","DIABLO WATER DISTRICT",36014
"109","0710008","CITY OF PITTSBURG",62500
"110","0710009","TOWN OF DISCOVERY BAY",13500
"111","0710010","RANDALL-BOLD WATER TREATMENT PLANT",396803
"112","0710011","CCWD/BRENTWOOD WTP",52801
"113","0800608","TREES OF MYSTERY",200
"114","0800861","RESERVATION RANCH",50
"115","0810002","SMITH RIVER C.S.D.",2568
"116","0810300","DEL NORTE COAST STATE PARK",1042
"117","0810303","JEDEDIAH SMITH STATE PARK",2202
"118","0900120","SCIOTS TRACT WATER SYSTEM",100
"119","0900308","QUINTETTE SERVICE CORP WATER",100
"120","0910001","EL DORADO ID - MAIN",117246
"121","0910002","SOUTH TAHOE PUD - MAIN",91128
"122","0910006","GRIZZLY FLATS COMMUNITY SERVIC",1300
"123","0910013","GEORGETOWN DIVIDE PUD",9237
"124","0910015","TAHOE KEYS WATER COMPANY",1200
"125","0910017","EL DORADO ID - STRAWBERRY",358
"126","0910300","FOLSOM LAKE SRA - PENINSULA CAMPGROUND",751
"127","1000019","FCSA #30/EL PORVENIR",143
"128","1000021","FCSA #05/WILDWOOD ISLAND",417
"129","1000040","FCWWD #37/MILE HIGH",128
"130","1000056","MEADOW LAKES CLUB",145
"131","1000063","NEW AUBERRY WATER ASSOCIATION",200
"132","1000072","SHAVER LAKE POINT #2",202
"133","1000094","FCPG/KEARNEY PARK",101
"134","1000096","FCPG/AVOCADO LAKE PARK",102
"135","1000097","FCPG/LOST LAKE RECREATION AREA",4204
"136","1000105","MADISON ELEMENTARY SCHOOL",900
